labelcode,cutword
64,傷病 住院 市府 本市 籍 役男 服役 期間 因傷 病 住院 時有 何慰助 措施
97,市區 道路 使用費 計費 基準 值及 值 為何
46,請問 稅捐稽徵 機關 復 查 決定 後 納稅 義務人 復 查 決定 稅額 或罰 鍰 金額 不服 救濟 途徑 為何
97,既成 道路 土地 投標 資格
27,公司 選擇 舊制 勞工 已經 改選 新制 收到 稽 催 欠繳 公文
103,請問 臺北市政府警察局 手機 建檔 方案 登錄 建檔 需要 收費 登錄 建檔 個資 外洩 建檔 方案 對象 是否 僅限 臺北市 市民
44,代收 代付款 項所 開立 收據 繳納 印花稅
95,兒童 齲齒 率 偏高 飲用水 是否 宜加 氟
18,機電 設計 台北 捷運 新購 之高 運量 列車 設計 特色
122,客 委會 志工 工作 性質 內容 值班 時間
109,我家 坐落 低度 土壤液化 潛勢 區 範圍 我該
40,校園霸凌 事件 反映 申訴 管道 為何
10,取得 臺北市 工廠 名錄
56,臺北市 動產 質借 處之質 利率
13,臺北市立 陽明 教養院 特殊 餐食
75,救護車 收費 目的
75,家中 有人 亡故 無法 取得 死亡證 明 應 處理 行政 相驗
61,公文 正本 行文 副本 下 行文 時 公文 應 蓋印 簽署
46,不服 稅捐稽徵 機關 核定 稅額 處分 復 查 程序 是否 直接 提起 訴願
22,繳款 證明 正本 遺失 時 辦理 退款
52,運動 中心 禁止 私人 教學
49,環保局 以前 贈送 專用 垃圾袋 可否 使用
30,騎車 時 臨時 停車 卻 租賃 站 如何是好 車輛 遭竊該
9,中度 重度 失能 長者 交通 接送 服務 收費 標準 為何
90,查詢 藝文 推廣 處 城市 舞台 檔期
35,身心障礙 停車 識別證 若要 辦理 銷單 有無 期限 規定
103,網路上 遭人 誹謗 張貼 訊息 公然侮辱 情事 處置
92,環保局 攔車 時所 交付 檢驗 通知單 遺失 應 檢驗 寄回
18,機電 設計 台北 捷運 高 運量 號誌 系統 之行 控 中心 是否 監控 文湖線 中 運量 捷運 號誌 系統
114,使用 道路 舉辦 臨時 活動 應於 提出申請 交通局 部分 文化局 請 自行 另洽
32,身心障礙 證明 申請 進度 相關 問題
31,領取 交通 違規 吊扣 駕照 需要 證明文件
64,替代役 管理 替代役 役男 身分 定位 為何
57,請問 AQI 代表 意義
15,何謂 總 決算
135,我們家 出國 照顧 狗狗 帶去 寄放 幾天 回來 接回來 照顧
30,YouBike 是否 使用 時間 限制
63,Voting 新制 舊制 不同之處
134,民眾 反映 市場 銷售 人員 態度 事宜
138,如有 疑似 狂犬病 動物 屍體 市區 道路 需要 環境 清潔 消毒 洽何 單位 處理
134,傳統市場 禁宰 活禽 政策 正式 實施 後 違法 屠宰 處置 方式
53,行業 勞工 雇主 應為 辦理 健康檢查
117,市地 重劃 後 抵費 處分 盈餘 款 可否 比例 發還 土地 所有權 人
44,原 約定 契約書 已貼 印花稅 票 現已 期滿 約定 使用 請問 貼花
67,勞工 特別 休假 排定 天數 計算
128,請問 園區 內有 提供 遊客 緊急 電話 服務 位置
55,職涯 輔導 服務 需要 付費
32,方式 申辦 外籍 家庭 看護 工
94,青年 留貸 青年 留學 貸款 期限 寬限期 為何 寬限期
141,申請 配租 公有 市場 攤位 資格
136,環境 講習 繳錢 還要 上課
35,本處 稽查人員 執法不公 選擇性 開單
51,住宅 火災警報器 為何 設置 價格 為何 使用 維修保養
89,請問 天文館 遺失 物品 找尋
60,機電 設施 捷運系統 電 扶梯 是否 發生 踏階 破裂 傷人 事件
31,查詢 有否 重覆 繳納 交通 違規 罰 鍰
20,藥癮 毒癮 發作 舒服 時 提供 幫助
138,受傷 流浪狗 犬 求援
108,動保 處在 地點 執行 生態 監測
93,系列 二計畫 中 地區 發展 係數 計算
23,育嬰 留職停薪 期間 獎金 年終獎金 發放 條件 為何
137,針對 民眾 反映 本市 聯營公車 公車專用道 滯留 載客 案件 回 復 內容
86,請求權 人 可否 不經 先行 協議 直接 法院 提起 訴訟
98,民眾 繳交 交通 違規 罰 鍰 何種 用途
58,碧山 貴子坑 露營 場有 熱水 洗澡
43,華僑 臺 身分證 臺灣 市民 身分證 有何 差異
72,民政 申請 原住民 兒童 托育 補助
28,現場 都市計畫 樁 位 申請 恢復
